Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T025_001,SE_T025_002,SE_T025_003,SE_T025_004,SE_T025_005,SE_T025_006,SE_T025_007,SE_T025_008,SE_T056_001,SE_T056_002,SE_T056_003,SE_T056_004,SE_T056_005,SE_T056_006,SE_T056_007,SE_T056_008,SE_T056_009,SE_T056_010,SE_T056_011,SE_T056_012,SE_T056_013,SE_T056_014,SE_T056_015,SE_T056_016,SE_T056_017
"01","04000US01","Alabama","Alabama","al","040","00","ACSSF","0000001",,,,,"01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3239351,509891,1005295,962515,478812,201997,48509,32332,1848325,182268,129587,119935,118284,109210,102957,92863,91447,76868,146478,173281,201140,125096,66727,62075,50109
"02","04000US02","Alaska","Alaska","ak","040","00","ACSSF","0000001",,,,,"02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,464440,36493,129324,168702,83201,33447,8271,5002,250969,9503,8611,8859,9715,8504,9598,9766,11090,8587,18269,27537,37480,28549,18824,20786,15291
"04","04000US04","Arizona","Arizona","az","040","00","ACSSF","0000001",,,,,"04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4361304,609245,1063765,1489284,753425,321027,73284,51274,2412212,185629,125386,130674,137391,131797,135872,120537,125232,107215,202142,244371,285636,183806,104914,99975,91635
"05","04000US05","Arkansas","Arkansas","ar","040","00","ACSSF","0000001",,,,,"05",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962741,299099,685277,564266,267741,103397,24613,18348,1138025,104645,85977,78308,79037,70859,70216,61971,59437,51258,94357,106582,113603,68160,35415,30720,27480
"06","04000US06","California","California","ca","040","00","ACSSF","0000001",,,,,"06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25257858,4599641,5231824,7487209,5002596,1965005,583790,387793,12717801,742545,646023,595038,611018,561338,573263,526748,525734,476229,920488,1197858,1542550,1146828,755700,886811,1009630
"08","04000US08","Colorado","Colorado","co","040","00","ACSSF","0000001",,,,,"08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3520177,327222,767325,1083623,847977,360853,76126,57051,2024468,119023,83049,86030,96028,90341,98142,89975,93977,83738,161270,209934,267561,186969,115272,125268,117891
"09","04000US09","Connecticut","Connecticut","ct","040","00","ACSSF","0000001",,,,,"09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2462855,249857,673973,613418,516001,297270,71852,40484,1352583,78177,52344,56078,56122,52008,52407,48860,50637,47344,93751,125656,173741,132904,91917,109075,131562
"10","04000US10","Delaware","Delaware","de","040","00","ACSSF","0000001",,,,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,631118,73373,196236,172147,112141,55594,11160,10467,344022,19788,13238,15159,15872,15957,16477,15386,15826,14306,28519,36940,46953,31843,19793,20520,17445
"11","04000US11","District of Columbia","District of Columbia","dc","040","00","ACSSF","0000001",,,,,"11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453952,48430,81697,76073,105880,85795,37856,18221,273390,27878,11460,10049,10276,8886,9464,8143,9898,8169,16387,21638,29547,24908,17106,22697,36884
"12","04000US12","Florida","Florida","fl","040","00","ACSSF","0000001",,,,,"12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13824205,1814266,4074252,4155539,2418555,932223,274741,154629,7300494,566780,409233,434008,451883,424956,422183,387580,377305,328374,604552,722450,806959,507534,281061,278520,297116
